asset_id,task,class,priority,size,vendor,stage,due,cost_usd,approved_by
ART-0018,"Kessendorf heraldry and signage set (city arms, 6 guild marks, hospice of Saint Ildra seal) designed from scratch, IP-checked",Art direction & art bible,P1,S,TBD,not started,,,
ART-0019,"Faith iconography for Saint Ildra and the Merciful Order (sun-in-palm, dove-and-lancet), with glyph variants for UI use",Art direction & art bible,P2,S,TBD,not started,,,
ART-0025,"Style frame 5: the Chapter 2 war camp at dusk (Bruegel crowd, pike-and-shot tents) to lock the Chapter 2 palette",Art direction & art bible,P1,M,TBD,not started,,,
ART-0030,"Demo art-lock date set, with the list of assets still placeholder at lock reviewed weekly until empty",Art direction & art bible,P1,S,TBD,not started,,,
ART-0035,"npm run art:export batch script: source → resized, trimmed, compressed exports with a manifest JSON (assets/manifest.json) of size, hash and atlas page",Art pipeline & tooling,P0,M,TBD,not started,,,
ART-0036,"Texture-atlas packer (tools/pack-atlas.ts) for UI, icons, ailments and VFX: 2048² pages, 2 px extrude, max-rects packing, a JSON frame map consumed by gfx.ts",Art pipeline & tooling,P0,M,in-house (procedural),done,,0,
ART-0037,Premultiplied-alpha export for all atlased sprites; no dark halos when drawn on parchment and on flesh (visual test page),Art pipeline & tooling,P0,S,TBD,not started,,,
ART-0038,"Spritesheet and flipbook convention (row-major, fixed cell, fps in the manifest) for ailment and VFX animation",Art pipeline & tooling,P1,S,in-house (procedural),done,,0,
ART-0039,Hot-reload of assets/ in the Vite dev server: changing an exported PNG updates the running game within 2 s without restart,Art pipeline & tooling,P1,M,in-house (procedural),done,,0,
ART-0040,"Art viewer debug scene (?scene=artview) listing every manifest entry, with zoom, frame-stepping and a background swatch toggle",Art pipeline & tooling,P1,S,in-house (procedural),done,,0,
ART-0041,"Placeholder-tracking: every asset in the manifest tagged placeholder|wip|final, with a build report counting each; the demo build fails if any demo asset is placeholder",Art pipeline & tooling,P1,M,in-house (procedural),done,,0,
ART-0042,Photoshop/Krita export actions shared in art-src/tools/ so every artist exports identically,Art pipeline & tooling,P2,S,TBD,not started,,,
ART-0044,"Portrait layer format: base body + expression overlay + blink + mouth frames as named layers, loaded by a PortraitRig in the story scene, replacing drawPortrait()",Art pipeline & tooling,P0,M,TBD,not started,,,
ART-0045,"Background layer format: far / mid / near / FX layers with parallax factors in the manifest, replacing drawBackdrop() per Backdrop key",Art pipeline & tooling,P0,M,in-house (procedural),done,,0,
ART-0046,"Flesh texture input spec agreed with ENG: albedo (sRGB), normal (tangent-space, OpenGL +Y), wet/spec mask (R), vein mask (G), cavity/AO (B) and height (A), 1024² tileable — FLESH_FS samples these on top of the procedural base",Art pipeline & tooling,P0,M,in-house (procedural),done,,0,
ART-0047,"Ailment sprite anchor convention: pivot at the wound centre, with the embed direction encoded in the manifest (angle0) so Embedded entities rotate correctly",Art pipeline & tooling,P0,S,in-house (procedural),done,,0,
ART-0048,9-slice metadata for every UI frame (margins in the manifest) consumed by panel() / parchment() replacements,Art pipeline & tooling,P1,S,in-house (procedural),done,,0,
ART-0049,"Colour-management rule: all authoring in sRGB, previews checked on a calibrated display (ΔE < 3), and flesh albedo validated through the candlelit grade LUT",Art pipeline & tooling,P1,S,in-house (procedural),done,,0,
ART-0050,"Parchment set: 3 tileable vellum textures (fresh, foxed, burnt-edge) at 1024², plus a 9-slice torn-edge frame, replacing the flat parchment() fill",UI art kit,P0,M,in-house (procedural),done,,0,
ART-0051,"Woodcut border kit: 4 corner ornaments, 2 tiling edge strips and 3 divider rules in the Gersdorff/Holbein style, 9-slice-ready",UI art kit,P0,M,in-house (procedural),done,,0,
ART-0052,"Dark panel (soot-stained oak with iron straps) 9-slice for the HUD and pause panels, replacing panel()",UI art kit,P0,S,in-house (procedural),done,,0,
